traded_at,trades,pnl
2026-06-22 09:00:00+00:00,4,8744.31
2026-06-22 13:00:00+00:00,2,-1392.96
2026-06-22 14:00:00+00:00,6,4521.900000000001
2026-06-22 15:00:00+00:00,1,266.38
2026-06-23 19:00:00+00:00,96,53.339999999999996
2026-06-23 22:00:00+00:00,602,1246.31
2026-06-23 23:00:00+00:00,572,1168.42
2026-06-24 00:00:00+00:00,940,3350.94
2026-06-24 01:00:00+00:00,892,3585.63
2026-06-24 02:00:00+00:00,941,3074.61
2026-06-24 03:00:00+00:00,760,2303.71
2026-06-24 04:00:00+00:00,836,1103.75
2026-06-24 05:00:00+00:00,880,1725.24
2026-06-24 06:00:00+00:00,704,1223.47
2026-06-24 07:00:00+00:00,885,2462.2799999999997
2026-06-24 08:00:00+00:00,815,1848.76
2026-06-24 09:00:00+00:00,831,596.67
2026-06-24 10:00:00+00:00,937,2061.97
2026-06-24 11:00:00+00:00,129,396.74
